Source,Target,Weight
刘备,关羽,3
刘备,张飞,3
刘备,诸葛亮,7
刘备,张三人,2
刘备,静静,2
刘备,卧龙先生,2
刘备,隆中对,2
关羽,刘备,3
关羽,张飞,2
关羽,诸葛亮,5
关羽,张三人,1
关羽,静静,1
关羽,卧龙先生,1
关羽,隆中对,1
张飞,刘备,3
张飞,关羽,2
张飞,诸葛亮,5
张飞,张三人,1
张飞,静静,1
张飞,卧龙先生,1
张飞,隆中对,1
诸葛亮,刘备,7
诸葛亮,关羽,5
诸葛亮,张飞,5
诸葛亮,张三人,2
诸葛亮,静静,2
诸葛亮,卧龙先生,2
诸葛亮,隆中对,2
张三人,诸葛亮,2
张三人,刘备,2
张三人,关羽,1
张三人,张飞,1
张三人,静静,1
张三人,卧龙先生,1
张三人,隆中对,1
静静,张三人,1
静静,诸葛亮,2
静静,刘备,2
静静,关羽,1
静静,张飞,1
静静,卧龙先生,1
静静,隆中对,1
卧龙先生,张三人,1
卧龙先生,诸葛亮,2
卧龙先生,刘备,2
卧龙先生,关羽,1
卧龙先生,张飞,1
卧龙先生,静静,1
卧龙先生,隆中对,1
隆中对,张三人,1
隆中对,诸葛亮,2
隆中对,刘备,2
隆中对,关羽,1
隆中对,张飞,1
隆中对,静静,1
隆中对,卧龙先生,1
